origin,dest,passengers,distancemiles,origin_name,origin_cbsa,origin_cbsa_name,dest_name,dest_cbsa,dest_cbsa_name
EWR,DTW,205100,488,Newark Liberty International,35620,"New York-Newark-Jersey City, NY-NJ-PA",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
FLL,DTW,378280,1127,Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
JAX,DTW,68740,813,Jacksonville International,27260,"Jacksonville, FL",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
LAX,DTW,422730,1979,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
LAX,OAK,418340,337,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA"
LAX,PHX,662760,370,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ"
LGA,DTW,382450,502,LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
LGA,MIA,750650,1096,LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA",Miami International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
MCO,DTW,576280,957,Orlando International,36740,"Orlando-Kissimmee-Sanford, FL",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
MIA,DTW,204770,1145,Miami International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
MSY,DTW,116190,926,Louis Armstrong New Orleans International,35380,"New Orleans-Metairie, LA",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
RSW,DTW,337790,1084,Southwest Florida International,15980,"Cape Coral-Fort Myers, FL",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
SEA,PDX,511400,129,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Portland International,38900,"Portland-Vancouver-Hillsboro, OR-WA"
SEA,PHX,795450,1107,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ"
SEA,SJC,455450,696,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Norman Y. Mineta San Jose International,41940,"San Jose-Sunnyvale-Santa Clara, CA"
SLC,SJC,170090,584,Salt Lake City International,41620,"Salt Lake City, UT",Norman Y. Mineta San Jose International,41940,"San Jose-Sunnyvale-Santa Clara, CA"
TPA,DTW,327990,983,Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
ATL,DAY,104470,432,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",James M Cox/Dayton International,19430,"Dayton-Kettering, OH"
ATL,BUF,166580,712,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Buffalo Niagara International,15380,"Buffalo-Cheektowaga, NY"
ATL,ECP,260070,240,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Northwest Florida Beaches International,37460,"Panama City, FL"
ATL,MSP,488860,907,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
ATL,ONT,143830,1900,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Ontario International,40140,"Riverside-San Bernardino-Ontario, CA"
ATL,PVD,133160,903,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Theodore Francis Green State,39300,"Providence-Warwick, RI-MA"
ATL,JAX,615330,270,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Jacksonville International,27260,"Jacksonville, FL"
ATL,PBI,556290,545,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Palm Beach International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
ATL,AVL,136170,164,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Asheville Regional,11700,"Asheville, NC"
ATL,EWR,665820,746,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Newark Liberty International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
ATL,EYW,156910,646,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Key West International,28580,"Key West, FL"
ATL,JAN,228330,341,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Jackson Medgar Wiley Evers International,27140,"Jackson, MS"
ATL,LAX,796790,1947,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA"
ATL,PDX,195350,2172,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Portland International,38900,"Portland-Vancouver-Hillsboro, OR-WA"
ATL,RDU,537720,356,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Raleigh-Durham International,39580,"Raleigh-Cary, NC"
ATL,SMF,138670,2092,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Sacramento International,40900,"Sacramento-Roseville-Folsom, CA"
DTW,FLL,379710,1127,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
DTW,SFO,198170,2079,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",San Francisco International,41860,"San Francisco-Oakland-Berkeley, CA"
MSP,DEN,717630,680,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Denver International,19740,"Denver-Aurora-Lakewood, CO"
MSP,EWR,203530,1008,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Newark Liberty International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
MSP,SAN,237560,1532,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",San Diego International,41740,"San Diego-Chula Vista-Carlsbad, CA"
MSP,SEA,428250,1399,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA"
SLC,SAN,308880,626,Salt Lake City International,41620,"Salt Lake City, UT",San Diego International,41740,"San Diego-Chula Vista-Carlsbad, CA"
SLC,SMF,201930,532,Salt Lake City International,41620,"Salt Lake City, UT",Sacramento International,40900,"Sacramento-Roseville-Folsom, CA"
SLC,PSC,58870,521,Salt Lake City International,41620,"Salt Lake City, UT",Tri Cities,28420,"Kennewick-Richland, WA"
ATL,HPN,118010,780,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Westchester County,35620,"New York-Newark-Jersey City, NY-NJ-PA"
ATL,LGA,911360,762,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA"
MSP,ATL,487210,907,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
MSP,DFW,378840,852,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Dallas/Fort Worth International,19100,"Dallas-Fort Worth-Arlington, TX"
ATL,LFT,47170,503,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Lafayette Regional,29180,"Lafayette, LA"
ATL,AUS,475980,813,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Austin - Bergstrom International,12420,"Austin-Round Rock-Georgetown, TX"
ATL,CVG,292510,373,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN"
ATL,MCI,335950,692,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Kansas City International,28140,"Kansas City, MO-KS"
ATL,ORD,592170,606,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Chicago O'Hare International,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
ATL,SAN,313120,1892,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",San Diego International,41740,"San Diego-Chula Vista-Carlsbad, CA"
ATL,SYR,124930,794,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Syracuse Hancock International,45060,"Syracuse, NY"
JFK,FLL,588470,1069,John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
LAX,HNL,797610,2556,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Daniel K Inouye International,46520,"Urban Honolulu, HI"
